City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Mandsaur,IN,2022-02-05 06:16:15,24.0667,75.0667,70.92,20,0,2.8,clear sky
184,Maniwaki,CA,2022-02-05 06:16:16,46.3834,-75.966,-0.02,78,100,6.91,overcast clouds
185,Pisco,PE,2022-02-05 06:16:17,-13.7,-76.2167,66.02,88,0,0.0,clear sky
186,Santa Maria,BR,2022-02-05 06:16:17,-29.6842,-53.8069,72.55,91,77,2.1,broken clouds
187,Bowling Green,US,2022-02-05 06:13:34,36.9903,-86.4436,23.58,86,0,3.44,clear sky
188,Turukhansk,RU,2022-02-05 06:16:18,65.8167,87.9833,12.43,95,100,11.9,light snow
189,Barcelos,PT,2022-02-05 06:16:19,41.5388,-8.6151,49.28,86,94,4.88,overcast clouds
190,Aklavik,CA,2022-02-05 06:16:20,68.2191,-135.0107,-22.97,90,6,18.05,clear sky
191,Luderitz,NA,2022-02-05 06:16:21,-26.6481,15.1594,67.08,76,94,3.13,overcast clouds
192,Port Macquarie,AU,2022-02-05 06:16:22,-31.4333,152.9167,71.89,61,70,18.77,broken clouds
193,Syracuse,IT,2022-02-05 06:16:23,37.0881,15.2792,53.31,70,6,4.97,clear sky
194,Kangasala,FI,2022-02-05 06:16:23,61.4638,24.076,30.47,97,100,12.28,light snow
195,Muyezerskiy,RU,2022-02-05 06:16:24,63.9333,31.65,17.96,81,100,17.2,overcast clouds
196,Beyneu,KZ,2022-02-05 06:16:25,45.3167,55.2,38.59,87,90,9.95,overcast clouds
197,Kruisfontein,ZA,2022-02-05 06:16:26,-34.0033,24.7314,66.88,72,48,9.93,scattered clouds
198,Kavaratti,IN,2022-02-05 06:16:26,10.5669,72.642,78.04,59,62,5.28,broken clouds
199,Diego De Almagro,CL,2022-02-05 06:16:27,-26.3667,-70.05,61.66,45,0,0.92,clear sky
200,Axim,GH,2022-02-05 06:16:28,4.8699,-2.2405,77.47,86,1,0.87,clear sky
201,Kaitangata,NZ,2022-02-05 06:16:29,-46.2817,169.8464,55.18,61,8,7.09,clear sky
202,Tazovskiy,RU,2022-02-05 06:11:53,67.4667,78.7,6.21,95,100,8.05,overcast clouds
203,Puerto Escondido,MX,2022-02-05 06:16:30,15.85,-97.0667,75.54,67,0,5.5,clear sky
204,Brodina,RO,2022-02-05 06:16:30,47.8833,25.4167,26.1,87,87,5.44,overcast clouds
205,Cabo San Lucas,MX,2022-02-05 06:15:21,22.8909,-109.9124,62.94,70,0,1.68,clear sky
206,Bahir Dar,ET,2022-02-05 06:16:32,11.5936,37.3908,68.99,47,23,5.39,few clouds
207,Dandong,CN,2022-02-05 06:16:34,40.1292,124.3947,22.44,38,3,15.66,clear sky
208,Lasa,IT,2022-02-05 06:16:37,46.6166,10.7002,38.66,92,43,7.87,scattered clouds
209,Marzuq,YE,2022-02-05 06:16:38,14.4,46.4667,75.25,19,9,2.48,clear sky
210,Mirador,BR,2022-02-05 06:16:39,-6.3708,-44.3631,73.04,95,99,2.37,overcast clouds
211,Umm Kaddadah,SD,2022-02-05 06:16:40,13.6017,26.6876,55.69,27,1,22.35,clear sky
212,Sokoni,TZ,2022-02-05 06:16:40,-6.4333,39.55,74.95,88,100,13.62,light rain
213,Orje,NO,2022-02-05 06:16:41,59.4802,11.6602,32.74,81,50,7.85,scattered clouds
